screen_name,twitter_id,block,final_rank,block_rank,enhanced_score,hits_hub_score,cluster_score,pattern_score,# of Projects Followed,Avg Position
yanzero_,14119874,authority,73,73,958.4881228650763,5.979219045109289,26.058903819966986,54.45,36,455.5
manicybersec3,2379256996,authority,74,74,956.5124590056759,1.9722128146608755,26.61943538020408,56.61,37,433.9
analyticalali,64021497,authority,75,75,956.2776521248085,7.197806475450524,25.50984564935788,55.57000000000001,49,444.3
cryptaar0n,14651458,authority,76,76,956.0773109447747,9.347953462543517,27.359357482231204,61.370000000000005,32,386.3
crypto_haru,129701791,authority,77,77,955.9677353053557,4.002415113979054,26.425320191376763,56.54,45,434.6
vemoster,2676309056,authority,78,78,954.9551166076748,5.7260464162980105,26.425320191376763,68.71000000000001,32,312.9
yi0x15,88838586,authority,79,79,954.4384233317501,5.951911015725578,25.50984564935788,66.06,30,339.4
risk22_,631121451,authority,80,80,954.3662768546544,4.736841474450281,26.61943538020408,49.510000000000005,50,504.9
uubdik,1544732304949510147,authority,81,81,954.3435591703167,32.340288644607256,27.359357482231204,84.72,46,152.8
ryanberckmans,546460454,authority,82,82,954.330765691952,3.588487610161759,25.50984564935788,52.3,37,477.0
knet1304,229203805,authority,83,83,953.4143357783785,5.339015587001794,26.425320191376763,58.65,41,413.5
0xdenniswon,177492042,authority,84,84,952.7845748906813,4.414729241323377,25.50984564935788,55.86,41,441.4
0xTP91,1558445010,authority,85,85,952.5211652163622,6.327044005090779,26.058903819966986,53.57000000000001,46,464.3
happenwah,2200411640,authority,86,86,951.8953698238456,6.653301952265611,25.50984564935788,51.510000000000005,45,484.9
stakedvc,143097739,authority,87,87,951.7085077313646,9.42915024913345,27.359357482231204,82.92,28,170.8
freeman310197,1099026854,authority,88,88,951.1821296458404,6.013148811090828,26.61943538020408,47.970000000000006,44,520.3
darth_infernal,1703000077,authority,89,89,949.7873394294027,3.9965997013725163,26.61943538020408,47.529999999999994,46,524.7
aezchain,4830348695,authority,90,90,948.3267462208504,8.223014814676455,26.058903819966986,76.2,29,238.0
sid_coelho,519209521,authority,91,91,946.3434319951222,1.9975257397036834,25.50984564935788,58.73,33,412.7
notab2d_,1378037105562152962,authority,92,92,946.1458021524782,38.93328011328493,27.359357482231204,83.6,79,164.0
AnClint,3246143090,authority,93,93,945.9602125053442,2.4432706923458274,26.425320191376763,50.47,37,495.3
LuciusFang10,171047370,authority,94,94,945.5773793068546,3.224924961844664,25.50984564935788,41.56,46,584.4
